id,enemies
enc001,"[""fb006"", ""fb006""]"
enc002,"[""fb006"", ""fb007""]"
enc003,"[""fb006"", ""fb008""]"
enc004,"[""fb007"", ""fb008""]"
enc005,"[""fb008"", ""fb011""]"
enc006,"[""fb011"", ""fb012""]"
enc007,"[""fb007"", ""fb012""]"
enc008,"[""fb013""]"
enc009,"[""fb010""]"
enc010,"[""fb001"", ""fb002""]"
enc011,"[""fb001"", ""fb003""]"
enc012,"[""fb003"", ""fb006""]"
enc013,"[""fb009""]"
enc014,"[""fb006"", ""fb013""]"
enc015,"[""fb006"", ""fb006"", ""fb008""]"
enc016,"[""fb006"", ""fb007"", ""fb008""]"
