id,display_name_key,description_key,name,hex_desc,texture_path,slot_limit,cast_condition,target_data,effect_data,traits,enemy_owned,enabled
fh001,,,fireball,Deal damage to the face-up enemy and apply Burn.,res://Assets/dice-fireball.png,6,0,"[{""team"": 1, ""type"": 0, ""condition"": {""selector"": ""front_enemy""}, ""index"": 0}]","[{""type"": 1, ""status_id"": ""st002"", ""cast_condition"": 0, ""target_index"": [0]}, {""type"": 0, ""value"": -4, ""cast_condition"": 0, ""target_index"": [0]}]",,,
fh002,,,cover,Shield front ally 6.,res://Assets/dice-cover.png,,0,"[{""team"": 0, ""type"": 0, ""condition"": {""selector"": ""front_ally""}, ""index"": 0}]","[{""type"": 3, ""value"": 6,  ""target_index"": [0]}]",,,
fh003,,,countpuff,Apply poisoned based on face-up enemy's remaining countdown,res://Assets/dice-countpuff.png,6,0,"[{""team"": 1, ""type"": 0, ""condition"": {""dice_reference"": {""type"": 0, ""face"": 0}}, ""index"": 0}]","[{""type"": 1, ""status_id"": ""st009"", ""stack_count"": 0, ""read_target_index"": [0], ""read_char_stat"": ""countdown"", ""read_value_per_point"": 1, ""target_index"": [0]}]",,,
fh004,,,target_locked,Swift.Deal 4 damage to face-up enemy.,res://Assets/dice-target_locked.png,,0,"[{""team"": 1, ""type"": 0, ""condition"": {""dice_reference"": {""type"": 0, ""face"": 0}}, ""index"": 0}]","[{""type"": 0, ""value"": -4, ""target_index"": [0]}]","[""ht002""]",,
fh005,,,heal,Heal front ally 6.,res://Assets/dice-heal.png,,0,"[{""team"": 0, ""type"": 0, ""condition"": {""selector"": ""front_ally""}, ""index"": 0}]","[{""type"": 0, ""value"": 6,  ""target_index"": [0]}]",,,
fh006,,,toxic time,Apply 1 poisoned and 1 speedup to face-up enemy,res://Assets/dice-toxic time.png,6,0,"[{""team"": 1, ""type"": 0, ""condition"": {""dice_reference"": {""type"": 0, ""face"": 0}}, ""index"": 0}]","[{""type"": 1, ""status_id"": ""st009"", ""cast_condition"": 0, ""target_index"": [0]}, {""type"": 1, ""status_id"": ""st013"", ""cast_condition"": 0, ""target_index"": [0]}]",,,
fh007,,,ignite,Switf. Apply 1 layer of 2-tick burn to face-up enemy,res://Assets/dice-ignite.png,3,0,"[{""team"": 1, ""type"": 0, ""condition"": {""dice_reference"": {""type"": 0, ""face"": 0}}, ""index"": 0}]","[{""type"": 1, ""status_id"": ""st002"", ""status_info"": {""duration"": 2}, ""target_index"": [0]}]","[""ht002""]",,
fh008,,,stoke,Apply 1 stack of 3-tick burn to face-up enemy. Up-flip ally hex dice.,res://Assets/dice-stoke.png,6,0,"[{""team"": 1, ""type"": 0, ""condition"": {""dice_reference"": {""type"": 0, ""face"": 0}}, ""index"": 0}, {""team"": 0, ""type"": 2, ""condition"": {""dice_reference"": {""type"": 2, ""face"": 0}}, ""index"": 1}]","[{""type"": 1, ""status_id"": ""st002"", ""duration"": 3, ""cast_condition"": 0, ""target_index"": [0]}, {""type"": 2, ""special_id"": ""flip_dice"", ""flip_direction"": ""UP"", ""target_index"": [1]}]",,,
fh009,,,warmth,Restore health to the face-up ally equal to the face-up enemy's Burn stacks times 4.,res://Assets/dice-warmth.png,6,0,"[{""team"": 0, ""type"": 0, ""condition"": {""dice_reference"": {""type"": 0, ""face"": 0}}, ""index"": 0}, {""team"": 1, ""type"": 0, ""condition"": {""dice_reference"": {""type"": 0, ""face"": 0}}, ""index"": 1}]","[{""type"": 0, ""value"": 0, ""read_target_index"": [1], ""read_status_id"": ""st002"", ""read_value_per_stack"": 4, ""target_index"": [0]}]",,,
fh010,,,iron chant,Increase all player characters' countdown by 1 once.,res://Assets/dice-iron chant.png,,0,"[{""team"": 1, ""type"": 0, ""condition"": {}, ""index"": 0}]","[{""type"": 1, ""status_id"": ""st012"", ""target_index"": [0]}]",,TRUE,
fh011,,,cage crash,Deal 8 damage to the back-row player character.,res://Assets/dice-cage crash.png,,0,"[{""team"": 1, ""type"": 0, ""condition"": {""selector"": ""back_enemy""}, ""index"": 0}]","[{""type"": 0, ""value"": -8, ""target_index"": [0]}]",,TRUE,
fh012,,,attack,deal 6 damage to target faced up.,res://Assets/dice-sword.png,,0,"[{""team"": 1, ""type"": 0, ""condition"": {""selector"": ""front_enemy""}, ""index"": 0}]","[{""type"": 0, ""value"": -6, ""target_index"": [0]}]",,,
fh013,,,spit,Swift. Deal 2 damage to the face-up enemy.,res://Assets/dice-spit.png,,0,"[{""team"": 1, ""type"": 0, ""condition"": {""dice_reference"": {""type"": 0, ""face"": 0}}, ""index"": 0}]","[{""type"": 0, ""value"": -2, ""target_index"": [0]}]","[""ht002""]",TRUE,
fh014,,,slap,Deal 4 to face-up enemy. Left-flip enemy frien dice.,res://Assets/dice-slap.png,,0,"[{""team"": 1, ""type"": 0, ""condition"": {""dice_reference"": {""type"": 0, ""face"": 0}}, ""index"": 0}, {""team"": 1, ""type"": 2, ""condition"": {""dice_reference"": {""type"": 0, ""face"": 0}}, ""index"": 1}]","[{""type"": 0, ""value"": -4, ""target_index"": [0]}, {""type"": 2, ""special_id"": ""flip_dice"", ""flip_direction"": ""LEFT"", ""target_index"": [1]}]",,,
fh015,,,grasp time,Reduce the face-up allied character and face-up enemy countdown by 1.,res://Assets/dice-grasp time.png,6,0,"[{""team"": 0, ""type"": 0, ""condition"": {""dice_reference"": {""type"": 0, ""face"": 0}}, ""index"": 0}, {""team"": 1, ""type"": 0, ""condition"": {""dice_reference"": {""type"": 0, ""face"": 0}}, ""index"": 1}]","[{""type"": 1, ""status_id"": ""st013"", ""target_index"": [0]}, {""type"": 1, ""status_id"": ""st012"", ""target_index"": [1]}]",,,
fh016,,,pyresnare,Apply 1 stack of 3-tick Burn and 1 Slow to the face-up enemy.,res://Assets/dice-pyresnare.png,6,0,"[{""team"": 1, ""type"": 0, ""condition"": {""dice_reference"": {""type"": 0, ""face"": 0}}, ""index"": 0}]","[{""type"": 1, ""status_id"": ""st002"", ""status_info"": {""duration"": 3}, ""cast_condition"": 0, ""target_index"": [0]}, {""type"": 1, ""status_id"": ""st012"", ""cast_condition"": 0, ""target_index"": [0]}]",,,
fh017,,,flame pierce,Deal 4 plus 2 times of burn stack to face-up enemy.,res://Assets/dice-flame pierce.png,6,0,"[{""team"": 1, ""type"": 0, ""condition"": {""dice_reference"": {""type"": 0, ""face"": 0}}, ""index"": 0}]","[{""type"": 0, ""value"": -4, ""read_target_index"": [0], ""read_status_id"": ""st002"", ""read_value_per_stack"": 2, ""target_index"": [0]}]",,,
fh018,,,nightshade,Apply 1 stack of poisoned to face-up enemy. Grant self stealth.,res://Assets/dice-nightshade.png,6,0,"[{""team"": 1, ""type"": 0, ""condition"": {""dice_reference"": {""type"": 0, ""face"": 0}}, ""index"": 0}, {""team"": 0, ""type"": 1, ""condition"": {""dice_reference"": {""type"": 2, ""face"": 0}}, ""index"": 1}]","[{""type"": 1, ""status_id"": ""st009"", ""cast_condition"": 0, ""target_index"": [0]}, {""type"": 1, ""status_id"": ""st015"", ""cast_condition"": 0, ""target_index"": [1]}]",,,
fh019,,,probation,Apply 1 poisoned and 1 slow to face-up enemy,res://Assets/dice-probation.png,6,0,"[{""team"": 1, ""type"": 0, ""condition"": {""dice_reference"": {""type"": 0, ""face"": 0}}, ""index"": 0}]","[{""type"": 1, ""status_id"": ""st009"", ""cast_condition"": 0, ""target_index"": [0]}, {""type"": 1, ""status_id"": ""st012"", ""cast_condition"": 0, ""target_index"": [0]}]",,,
