id,display_name_key,description_key,status_name,texture_path,status_type,category,status_target,duration,stack_count,max_stacks,description,hover_description,effects
st001,status.st001.name,status.st001.desc,stun,res://Assets/status-stun.png,1,2,0,1,1,,Skip next action.,该角色的下一次行动会被跳过。,"{""skip_action"": true}"
st002,status.st002.name,status.st002.desc,burn,res://Assets/status-burn.png,1,0,0,3,1,-1,Take periodic damage.,该角色在下{duration}次倒数后，每次受到{total_tick_damage}点伤害。,"{""tick_damage"": 2, ""tick_phase"": ""global_tick""}"
st003,status.st003.name,status.st003.desc,cover,res://Assets/status-cover.png,0,1,0,2,1,,Reduce incoming damage.,该角色在接下来的{duration}次倒数内每次受到的伤害减少{stacks}点。,"{""incoming_damage_add"": -1, ""incoming_damage_mul"": 1.0, ""outgoing_damage_add"": 0, ""outgoing_damage_mul"": 1.0}"
st004,status.st004.name,status.st004.desc,frozen,res://Assets/status-frozen.png,1,2,2,2,1,,Disable the frozen dice face interactions.,该骰面在接下来的{duration}次倒数内无法翻转或投掷。,"{""disable_flip"": true, ""disable_roll"": true}"
st005,status.st005.name,status.st005.desc,vulnerable,res://Assets/status-frozen-vuln.png,1,1,0,1,1,,Increase incoming damage.,该角色在接下来的{duration}次倒数内受到的伤害提高。,"{""incoming_damage_add"": 0, ""incoming_damage_mul"": 1.25, ""outgoing_damage_add"": 0, ""outgoing_damage_mul"": 1.0}"
st006,status.st006.name,status.st006.desc,sharp,,0,1,2,-1,1,,Increase outgoing weapon damage.,当前骰面造成的武器伤害提高{stacks}次结算，每次额外+{outgoing_damage_add}。,"{""outgoing_damage_add"": 2, ""incoming_damage_add"": 0, ""outgoing_damage_mul"": 1.0, ""incoming_damage_mul"": 1.0}"
st007,status.st007.name,status.st007.desc,stealth,,2,2,0,-1,1,1,Exclude this character from the next friend-dice roll if other faces are available.,该角色会在下一次友方角色骰投掷时被排除。,"{""exclude_from_next_friend_roll"": true}"
st008,status.st008.name,status.st008.desc,pressed,,0,1,2,-1,1,,Increase outgoing weapon damage by 50%.,当前骰面的武器伤害提高至{outgoing_damage_mul}倍。,"{""outgoing_damage_add"": 0, ""incoming_damage_add"": 0, ""outgoing_damage_mul"": 1.5, ""incoming_damage_mul"": 1.0}"
st009,status.st009.name,status.st009.desc,poisoned,res://Assets/status-poisoned.png,1,0,0,-1,1,-1,"Infinite duration. Stacks infinitely. After this unit acts, deal 6 damage per stack, then clear all stacks.",该角色在每次行动后受到{total_tick_damage}点伤害，然后清空该状态。,"{""tick_damage"": 6, ""tick_phase"": ""after_action"", ""duration_tick_phase"": ""after_action"", ""clear_stacks_after_trigger"": true}"
st010,status.st010.name,status.st010.desc,bright,,0,2,0,-1,1,1,A visible toggle status used by Bright Delight.,该角色当前处于明亮状态。,{}
st011,status.st011.name,status.st011.desc,resonance,,1,2,0,-1,1,1,"Infinite duration. When this unit would take direct spell damage, clear Resonance from all resonant units, then echo half the original spell damage to the others.",该角色当前处于共鸣状态，会在受到直接法术伤害时触发连锁效果。,{}
st012,status.st012.name,status.st012.desc,slow,,1,2,0,1,1,-1,"On apply, increase this unit's countdown by 1 once。",该角色当前倒数额外+{on_apply_self_countdown_delta}，并在下{duration}次行动后移除。,"{""on_apply_self_countdown_delta"": 1, ""duration_tick_phase"": ""after_action""}"
st013,status.st013.name,status.st013.desc,speedup,,0,2,0,1,1,-1,"On apply, reduce this unit's countdown by 1 once。",该角色当前倒数额外{on_apply_self_countdown_delta}，并在下{duration}次行动后移除。,"{""on_apply_self_countdown_delta"": -1, ""duration_tick_phase"": ""after_action""}"
st014,status.st014.name,status.st014.desc,stealth_equip,,2,2,2,-1,1,1,Exclude this equipment face from the next equipment-die roll if other faces are available.,该装备骰面会在下一次装备骰投掷时被排除。,"{""exclude_from_next_friend_roll"": true}"
st015,status.st015.name,status.st015.desc,stealth_hex,,2,2,2,-1,1,1,Exclude this hex face from the next hex-die roll if other faces are available.,该法术骰面会在下一次法术骰投掷时被排除。,"{""exclude_from_next_friend_roll"": true}"
st016,status.st016.name,status.st016.desc,escape,,2,3,0,3,1,1,Counts down after each action. Escape when it expires.,该角色会在下{duration}次行动后逃离战斗。,"{""duration_tick_phase"": ""after_action""}"
st017,status.st017.name,status.st017.desc,expose,,2,2,0,-1,1,1,This character must appear face up on the next friend-dice roll.,该角色在下一次友方角色骰投掷时必定朝上。,"{""force_next_friend_roll"": true}"
st018,status.st018.name,status.st018.desc,ready,,2,2,2,-1,1,1,"Infinite duration. This status belongs to the Sword equipment and is mirrored across all matching Sword faces. While Sword is face up, the next ally spell resolution deals 4 damage to the front enemy, then consumes this status.",当前匹配的剑类装备已就绪，下一次友方法术结算会对前排敌人追加伤害后移除。,{}
st019,status.st019.name,status.st019.desc,lockout,,2,2,2,-1,1,1,Infinite duration. This status belongs to an equipment and is mirrored across all matching equipment faces. Throw and face-up effects are disabled while Lockout is present. Lockout cannot stack and is consumed after the owning side resolves its next spell.,当前装备骰面被锁定，无法触发投掷或朝上效果，直到下一次己方法术结算后移除。,{}
